key,0,1,2,3,4,5,6,7,8,9
#,BasePlate,TopBorder,BottomBorder,Backing,PatternOverlay,PortraitFrame,PlateFrame,Accent,SortKey,Name
int32,CharaCardBase,CharaCardHeader,CharaCardHeader,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,CharaCardDecoration,uint16,str
0,0,0,0,0,0,0,0,0,0,"カスタム"
1,2,1,0,11,1,0,0,0,1,"ベーシック"
2,3,3,3,11,2,0,0,0,2,"シンプルモダン"
3,9,8,8,18,0,0,0,0,3,"スタイリッシュ"
4,4,3,3,13,3,0,0,0,4,"ポップ"
5,5,0,1,11,10,24,0,0,5,"ロール：TANK"
6,6,0,1,11,10,25,0,0,7,"ロール：DPS"
7,7,0,1,11,10,26,0,0,6,"ロール：HEALER"
8,6,5,5,20,4,28,35,42,8,"リムサ・ロミンサ"
9,10,7,7,20,4,28,36,42,9,"グリダニア"
10,9,4,4,20,4,28,37,42,10,"ウルダハ"
11,8,9,9,19,9,28,38,49,11,"エクスプローラー"
12,8,10,10,14,9,30,38,44,12,"アドベンチャラー"
13,54,11,0,160,0,161,162,163,100,"絶バハムート討滅戦"
14,55,12,0,164,0,165,166,167,101,"絶アルテマウェポン破壊作戦"
15,56,13,0,168,0,169,170,171,102,"絶アレキサンダー討滅戦"
16,57,14,0,172,0,173,174,175,103,"絶竜詩戦争"
17,3,0,0,0,176,177,0,0,80,"ヴァリアントダンジョン：シラディハ水道"
18,58,15,15,0,0,0,0,179,94,"友好部族クエスト：オミクロン族"
19,60,0,0,0,0,0,191,0,13,"幾何学模様：サークル"
20,59,0,0,0,180,0,0,194,14,"カフェ"
21,61,16,16,0,0,0,0,196,15,"ミュージック"
22,63,21,21,0,0,0,0,257,90,"友好部族クエスト：ピクシー族"
23,64,22,22,0,0,0,0,258,91,"友好部族クエスト：キタリ族"
24,65,23,23,0,0,0,0,259,92,"友好部族クエスト：ドワーフ族"
25,66,24,24,0,0,0,0,260,93,"友好部族クエスト：アルカソーダラ族"
26,0,0,0,0,0,0,0,0,0,""
27,0,0,0,0,0,0,0,0,0,""
28,0,0,0,0,0,0,0,0,0,""
29,0,0,0,0,0,0,0,0,0,""
30,71,0,0,0,0,0,298,0,89,"クロニクルクエスト：四聖獣奇譚"
31,72,0,0,0,0,0,299,301,96,"無人島開拓1"
32,73,0,0,0,0,0,300,302,97,"無人島開拓2"
33,0,0,0,0,0,0,0,0,0,""
34,0,0,0,0,0,0,0,0,0,""
35,0,0,0,0,0,0,0,0,0,""
36,0,0,0,0,0,0,0,0,0,""
37,0,0,0,0,0,0,0,0,0,""
38,0,0,0,0,0,0,0,0,0,""
39,0,0,0,0,0,0,0,0,0,""
40,0,0,0,0,0,0,0,0,0,""
41,0,0,0,0,0,0,0,0,0,""
42,0,0,0,0,0,0,0,0,0,""
43,0,0,0,0,0,0,0,0,0,""
44,0,0,0,0,0,0,0,0,0,""
45,0,0,0,0,0,0,0,0,0,""
46,0,0,0,0,0,0,0,0,0,""
47,0,0,0,0,0,0,0,0,0,""
48,0,0,0,0,0,0,0,0,0,""
49,0,0,0,0,0,0,0,0,0,""
50,0,0,0,0,0,0,0,0,0,""
