key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,0,"",0,"",0,0,1,0,0,"","",0
1,27976,"",0,"",0,0,1,0,0,"魔土器:呪印解除","現在の階層のトラップを、すべて消去する。",6259
2,27977,"",0,"",0,0,1,0,0,"魔土器:サイトロ","現在の階層のマップをすべて開示し、トラップを可視化する。",6260
3,27978,"",0,"",0,0,1,0,0,"魔土器:自己強化","自身の与ダメージと回復魔法の回復量を30%上昇する。",6262
4,27979,"",0,"",0,0,1,0,0,"魔土器:防御強化","自身の被ダメージを40%軽減する。",6263
5,27980,"",0,"",0,0,1,0,0,"魔土器:宝箱増加","次の階層の宝箱配置数を増加する。",6264
6,27981,"",0,"",0,0,1,0,0,"魔土器:敵排除","次の階層の敵を減少させる。",6265
7,27982,"",0,"",0,0,1,0,0,"魔土器:敵変化","次の階層のいずれかの部屋の敵を、ミミックかマンドラゴラに変化させる。",6266
8,27983,"",0,"",0,0,1,0,0,"魔土器:解呪","ステータス「呪詛」を解除する。",6267
9,27984,"",0,"",0,0,1,0,0,"魔土器:運気上昇","現在の階層において、敵を倒した際の宝箱出現率を上昇する。",6268
10,27985,"",0,"",0,0,1,0,0,"魔土器:形態変化","自身を中心にした範囲内に入った対象を、カエル、カッパ、ニワトリ状態にする。",6269
11,27986,"",0,"",0,0,1,0,0,"魔土器:魔法効果解除","現在の階層の魔法効果を、すべて消去する。",6270
12,27987,"",0,"",0,0,1,0,0,"魔土器:マンティコア化","自身がマンティコアに変化する。",6271
13,27988,"",0,"",0,0,1,0,0,"魔土器:サキュバス化","自身がサキュバスに変化する。",6272
14,27991,"",0,"",0,0,1,0,0,"魔土器:財宝感知","埋もれた財宝の在処を示す。この効果は、埋もれた財宝を発見するまで持続する。",6870
15,27989,"",0,"",0,0,1,0,0,"魔土器:リレイズ","最初に戦闘不能状態になったパーティメンバーを蘇生する。",6868
16,27990,"",0,"",0,0,1,0,0,"魔土器:クリブ化","自身がクリブに変化する。",6869
17,27994,"",0,"",0,0,1,0,0,"魔土器:敵弱体","現在の階層にいる敵を、攻防低下状態にする。",11275
18,27992,"",0,"",0,0,1,0,0,"魔土器:バニシュ","自身とパーティメンバーを、バニシュ状態にする。",11276
19,27993,"",0,"",0,0,1,0,0,"魔土器:敵石化","現在の階層にいる敵を、石化状態にする。",11277
20,27995,"",0,"",0,0,1,0,0,"魔科学器:スロウガ","現在の階層にいる敵を、スロウガ状態にする。 ",32144
21,27996,"",0,"",0,0,1,0,0,"魔科学器:ミールストーム","現在の階層にいる敵のＨＰを1桁にする。",32145
22,27997,"",0,"",0,0,1,0,0,"魔科学器:ドレッドノート化","自身がドレッドノートに変化する。",32146
23,27976,"",0,"",0,0,1,0,0,"魔科学器:呪印解除","現在の階層のトラップを、すべて消去する。",6259
24,27977,"",0,"",0,0,1,0,0,"魔科学器:サイトロ","現在の階層のマップをすべて開示し、トラップを可視化する。",6260
25,27978,"",0,"",0,0,1,0,0,"魔科学器:自己強化","自身の与ダメージと回復魔法の回復量を30%上昇する。",6262
26,27979,"",0,"",0,0,1,0,0,"魔科学器:防御強化","自身の被ダメージを40%軽減する。",6263
27,27980,"",0,"",0,0,1,0,0,"魔科学器:宝箱増加","次の階層の宝箱配置数を増加する。",6264
28,27981,"",0,"",0,0,1,0,0,"魔科学器:敵排除","次の階層の敵を減少させる。",6265
29,27982,"",0,"",0,0,1,0,0,"魔科学器:敵変化","次の階層のいずれかの部屋の敵を、ミミックかマンドラゴラに変化させる。",6266
30,27983,"",0,"",0,0,1,0,0,"魔科学器:解呪","ステータス「呪詛」を解除する。",6267
31,27984,"",0,"",0,0,1,0,0,"魔科学器:運気上昇","現在の階層において、敵を倒した際の宝箱出現率を上昇する。",6268
32,27985,"",0,"",0,0,1,0,0,"魔科学器:形態変化","自身を中心にした範囲内に入った対象を、カエル、カッパ、ニワトリ状態にする。",6269
33,27986,"",0,"",0,0,1,0,0,"魔科学器:魔法効果解除","現在の階層の魔法効果を、すべて消去する。",6270
34,27991,"",0,"",0,0,1,0,0,"魔科学器:財宝感知","埋もれた財宝の在処を示す。この効果は、埋もれた財宝を発見するまで持続する。",6870
35,27989,"",0,"",0,0,1,0,0,"魔科学器:リレイズ","最初に戦闘不能状態になったパーティメンバーを蘇生する。",6868
